filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k17_0.899_0.532_0.437_0.484_c862.mtx,82.4983,0.051052,3.55812,0.302334,3.35198
k17_0.899_0.533_0.437_0.484_c862.mtx,82.4455,0.053198,3.49369,0.25839,3.33019
k17_0.899_0.534_0.437_0.484_c862.mtx,82.5088,0.051599,3.58397,0.251706,3.40532
k17_0.899_0.535_0.437_0.484_c862.mtx,82.746,0.050358,3.56396,0.254658,3.41006
k17_0.899_0.536_0.437_0.484_c862.mtx,82.8118,0.049333,3.58189,0.260807,3.42631
k17_0.899_0.537_0.437_0.484_c862.mtx,82.976,0.05096,3.62813,0.240744,3.45014
k17_0.899_0.537_0.438_0.484_c862.mtx,82.9091,0.049954,3.62997,0.245292,3.46844
k17_0.899_0.537_0.439_0.484_c862.mtx,83.1153,0.05012,3.66,0.283258,3.47801
k17_0.899_0.537_0.440_0.484_c862.mtx,83.3138,0.050656,3.68518,0.262013,3.49413
k17_0.899_0.537_0.441_0.484_c862.mtx,82.8222,0.050392,3.70462,0.265617,3.51631
k17_0.899_0.537_0.442_0.484_c862.mtx,83.0527,0.050836,3.69592,0.250081,3.53414
k17_0.899_0.537_0.443_0.484_c862.mtx,82.8918,0.065879,3.68375,0.242992,3.55131
k17_0.899_0.537_0.444_0.484_c862.mtx,82.8784,0.052125,3.74947,0.274562,3.56919
k17_0.899_0.537_0.445_0.484_c862.mtx,82.958,0.05098,3.81241,0.287866,3.61193
k17_0.899_0.537_0.446_0.484_c862.mtx,83.156,0.049878,3.78016,0.285018,3.60255
k17_0.899_0.537_0.447_0.484_c862.mtx,83.1112,0.050652,3.80092,0.286103,3.62231
k17_0.899_0.537_0.448_0.484_c862.mtx,82.9594,0.049724,3.81343,0.276456,3.64021
k17_0.899_0.537_0.449_0.484_c862.mtx,83.0434,0.051195,3.84025,0.294436,3.65387
k17_0.899_0.537_0.450_0.484_c862.mtx,83.0091,0.055053,3.90152,0.290665,3.68219
k17_0.899_0.537_0.451_0.484_c862.mtx,83.1869,0.054664,3.93727,0.282093,3.76664
k17_0.899_0.537_0.452_0.484_c862.mtx,82.8482,0.049838,3.92957,0.284607,3.73308
k17_0.899_0.537_0.453_0.484_c862.mtx,82.9368,0.049728,3.9499,0.362182,3.73137
k17_0.899_0.537_0.454_0.484_c862.mtx,83.075,0.050605,3.96365,0.300488,3.76084
k17_0.899_0.537_0.455_0.484_c862.mtx,83.0304,0.049751,4.00886,0.288963,3.78538
k17_0.899_0.537_0.456_0.484_c862.mtx,82.9171,0.049355,4.02073,0.311891,3.7939
k17_0.899_0.537_0.457_0.484_c862.mtx,84.8648,0.056825,4.27482,0.619987,3.8451
k17_0.899_0.537_0.458_0.484_c862.mtx,83.0001,0.050628,4.05128,0.317607,3.82949
k17_0.899_0.537_0.459_0.484_c862.mtx,83.4112,0.052197,4.06439,0.314916,3.85059
k17_0.899_0.537_0.460_0.484_c862.mtx,82.8721,0.050766,4.18645,0.404933,3.8763
k17_0.899_0.537_0.461_0.484_c862.mtx,82.9906,0.050101,4.11861,0.305216,3.90302
k17_0.899_0.537_0.462_0.484_c862.mtx,83.0608,0.05056,4.1352,0.323351,3.90935
k17_0.899_0.537_0.463_0.484_c862.mtx,83.343,0.050219,4.15653,0.353752,3.93332
k17_0.899_0.537_0.464_0.484_c862.mtx,83.2857,0.051193,4.30939,0.305347,4.17162
k17_0.899_0.537_0.465_0.484_c862.mtx,82.952,0.049709,4.21246,0.339953,3.99179
k17_0.899_0.537_0.466_0.484_c862.mtx,83.0852,0.055815,4.24935,0.388105,3.99976
k17_0.899_0.537_0.467_0.484_c862.mtx,83.9869,0.049768,4.28459,0.337925,4.0695
k17_0.899_0.537_0.468_0.484_c862.mtx,83.2043,0.049739,4.2924,0.344308,4.04348
k17_0.899_0.537_0.469_0.484_c862.mtx,83.4057,0.050503,4.33577,0.339697,4.10893
k17_0.899_0.537_0.470_0.484_c862.mtx,83.1711,0.052056,4.3365,0.334587,4.10235
k17_0.899_0.537_0.471_0.484_c862.mtx,83.309,0.05085,4.34033,0.355006,4.10852
k17_0.899_0.537_0.472_0.484_c862.mtx,83.2129,0.051717,4.37652,0.346106,4.13564
k17_0.899_0.537_0.473_0.484_c862.mtx,84.0998,0.051193,4.38887,0.319755,4.15586
k17_0.899_0.537_0.474_0.484_c862.mtx,83.1828,0.050603,4.41524,0.345533,4.18816
k17_0.899_0.537_0.475_0.484_c862.mtx,83.3038,0.050947,4.46769,0.366046,4.20409
k17_0.899_0.537_0.476_0.484_c862.mtx,83.5685,0.050836,4.48417,0.391922,4.22049
k17_0.899_0.537_0.477_0.484_c862.mtx,83.4078,0.050683,4.49303,0.381545,4.24408
k17_0.899_0.537_0.478_0.484_c862.mtx,83.2539,0.050809,4.57429,0.393585,4.27333
