filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,128,103.814,0.054578,905.25,0.412404,905.186
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,256,106.773,0.068816,485.615,0.341743,485.514
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,512,103.824,0.055173,262.225,0.16234,262.144
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,1024,104.017,0.055068,144.664,0.163552,144.568
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,2048,105.8,0.066803,79.1419,0.114007,79.1069
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,4096,103.915,0.05455,42.4762,0.07548,42.4493
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,8192,105.735,0.063803,22.1101,0.0984479,22.0671
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,16384,103.798,0.055591,11.4647,0.132554,11.4019
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,32768,103.877,0.054978,5.95197,0.0833372,5.92091
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,65536,103.831,0.055269,3.24626,0.0855185,3.19697
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,2,103.852,0.055362,56174.3,15.558,56171.4
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,4,106.054,0.066202,28311.7,19.4109,28301.5
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,8,103.914,0.055007,14264.6,7.74266,14260
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,16,105.935,0.102622,7223.21,3.41371,7222.08
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,32,103.772,0.054626,3678.53,1.65187,3678.35
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,64,105.926,0.069608,1876.87,0.843972,1876.41
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,128,106.599,0.05584,961.269,0.391348,961.135
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,256,106.006,0.062617,500.206,0.31067,500.152
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,512,104.769,0.057452,264.282,0.112854,264.195
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,1024,106.407,0.067146,144.136,0.30946,144.02
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,2048,105.836,0.066084,79.0019,0.175377,78.8871
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,4096,103.732,0.054667,42.2873,0.0638078,42.264
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,8192,105.877,0.061956,22.0583,0.0526309,22.054
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,16384,103.722,0.05653,11.3785,0.042435,11.3698
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,32768,105.733,0.063888,5.91515,0.057951,5.88849
k16_0.899_0.537_0.526_0.484_c862.mtx,4096,65536,105.853,0.066524,3.24229,0.0711394,3.19749
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,2,103.887,0.05385,60716.4,22.1349,60698.2
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,4,103.895,0.055038,30356.2,12.7134,30347.7
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,8,103.658,0.05439,15230.8,2.96511,15230.3
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,16,106.128,0.064104,7650.76,4.73675,7651.91
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,32,103.802,0.05451,3847.03,1.80652,3846.14
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,64,103.966,0.055419,1945.26,0.988062,1945.12
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,128,103.768,0.0555,984.223,0.375626,984.025
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,256,103.938,0.055431,507.364,0.218011,507.295
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,512,106.878,0.070182,266.125,0.27822,266.048
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,1024,105.918,0.062855,143.744,0.168456,143.707
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,2048,103.921,0.055111,78.4815,0.148659,78.372
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,4096,103.786,0.056172,42.1889,0.087903,42.1573
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,8192,106.934,0.087354,21.9514,0.0577477,21.931
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,16384,106.121,0.062697,11.3172,0.0388256,11.2951
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,32768,104.074,0.054585,5.913,0.0573182,5.87762
k16_0.899_0.537_0.526_0.484_c862.mtx,8192,65536,103.771,0.055338,3.25568,0.0818533,3.21033
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,2,103.931,0.056007,62442.3,17.1471,62430.5
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,4,103.916,0.055364,31204.5,12.3735,31199.1
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,8,106.023,0.070152,15630.8,6.99802,15625.5
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,16,105.262,0.062345,7830.43,2.96163,7827.87
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,32,104.13,0.056313,3930.88,1.5133,3929.79
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,64,106.119,0.064463,1978.34,0.429365,1978.14
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,128,103.993,0.056407,997.603,0.737485,997.481
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,256,106.071,0.061491,511.555,0.214081,511.511
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,512,104.641,0.056651,267.634,0.170636,267.547
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,1024,105.862,0.0635,143.543,0.0718813,143.495
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,2048,103.99,0.056041,78.2192,0.196339,78.1109
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,4096,106.091,0.063014,41.7795,0.104681,41.7518
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,8192,105.914,0.063894,21.8481,0.0553734,21.8299
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,16384,103.857,0.056938,11.3071,0.0325649,11.2979
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,32768,103.885,0.055161,5.90393,0.0747917,5.87277
k16_0.899_0.537_0.526_0.484_c862.mtx,16384,65536,105.641,0.066071,3.24945,0.0815255,3.20655
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,2,104,0.055942,62992.8,19.1858,62993.9
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,4,106.368,0.065606,31483.2,18.3506,31475
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,8,103.901,0.056545,15750.6,8.52085,15747.9
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,16,107.027,0.068578,7889.13,1.59145,7888.55
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,32,103.844,0.054263,3959.58,1.1215,3959.21
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,64,103.855,0.054246,1993.13,1.13546,1992.55
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,128,106.09,0.065975,1005.46,0.454762,1005.16
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,256,106.115,0.064913,515.287,0.30596,515.194
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,512,103.961,0.05406,269.349,0.209877,269.265
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,1024,103.917,0.053507,143.995,0.0928748,143.915
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,2048,105.704,0.063021,78.0055,0.179043,77.9308
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,4096,103.903,0.05516,41.6102,0.0506445,41.5956
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,8192,103.88,0.055579,21.7722,0.0334804,21.7705
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,16384,105.734,0.061977,11.2974,0.0333862,11.2793
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,32768,103.815,0.055829,5.93863,0.0684846,5.90672
k16_0.899_0.537_0.526_0.484_c862.mtx,32768,65536,103.878,0.056343,3.23738,0.0721517,3.1972
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,2,103.774,0.055297,63341.1,23.2878,63336.1
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,4,106.198,0.072936,31711.5,8.94194,31707.7
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,8,103.905,0.05417,15871.1,8.11029,15868.3
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,16,105.993,0.068424,7948.69,4.51065,7948.95
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,32,104.032,0.055054,3992.22,1.69604,3991.64
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,64,106.007,0.066394,2007.73,1.24335,2007.21
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,128,103.89,0.05361,1008.72,0.674819,1008.56
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,256,105.927,0.063379,517.429,0.422951,517.171
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,512,103.859,0.05482,269.558,0.169642,269.499
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,1024,104.054,0.055276,144.197,0.10744,144.165
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,2048,105.911,0.060279,77.9705,0.100061,77.891
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,4096,104.139,0.056281,41.6308,0.0794079,41.597
k16_0.899_0.537_0.526_0.484_c862.mtx,65536,8192,105.973,0.063514,21.7023,0.0560309,21.6867
